year,month,date,count
2010,01,2010-01-01,446
2010,02,2010-02-01,471
2010,03,2010-03-01,489
2010,04,2010-04-01,456
2010,05,2010-05-01,470
2010,06,2010-06-01,477
2010,07,2010-07-01,468
2010,08,2010-08-01,500
2010,09,2010-09-01,423
2010,10,2010-10-01,524
2010,11,2010-11-01,459
2010,12,2010-12-01,580
2011,01,2011-01-01,495
2011,02,2011-02-01,544
2011,03,2011-03-01,607
2011,04,2011-04-01,586
2011,05,2011-05-01,540
2011,06,2011-06-01,620
2011,07,2011-07-01,594
2011,08,2011-08-01,605
2011,09,2011-09-01,647
2011,10,2011-10-01,625
2011,11,2011-11-01,614
2011,12,2011-12-01,587
2012,01,2012-01-01,1946
2012,02,2012-02-01,2185
2012,03,2012-03-01,2921
2012,04,2012-04-01,2648
2012,05,2012-05-01,2978
2012,06,2012-06-01,2816
2012,07,2012-07-01,2822
2012,08,2012-08-01,3029
2012,09,2012-09-01,2849
2012,10,2012-10-01,3037
2012,11,2012-11-01,2705
2012,12,2012-12-01,2751
2013,01,2013-01-01,2813
2013,02,2013-02-01,2583
2013,03,2013-03-01,2988
2013,04,2013-04-01,2939
2013,05,2013-05-01,3034
2013,06,2013-06-01,2820
2013,07,2013-07-01,2829
2013,08,2013-08-01,3228
2013,09,2013-09-01,2926
2013,10,2013-10-01,3243
2013,11,2013-11-01,3009
2013,12,2013-12-01,2918
2014,01,2014-01-01,2909
2014,02,2014-02-01,2812
2014,03,2014-03-01,3117
2014,04,2014-04-01,2918
2014,05,2014-05-01,3095
2014,06,2014-06-01,3041
2014,07,2014-07-01,2870
2014,08,2014-08-01,3146
2014,09,2014-09-01,3142
2014,10,2014-10-01,3349
2014,11,2014-11-01,3022
2014,12,2014-12-01,3288
2015,01,2015-01-01,3248
2015,02,2015-02-01,2743
2015,03,2015-03-01,3120
2015,04,2015-04-01,3415
2015,05,2015-05-01,3423
2015,06,2015-06-01,3392
2015,07,2015-07-01,3477
2015,08,2015-08-01,3806
2015,09,2015-09-01,3537
2015,10,2015-10-01,3828
2015,11,2015-11-01,3543
2015,12,2015-12-01,3645
2016,01,2016-01-01,3395
2016,02,2016-02-01,3604
2016,03,2016-03-01,3741
2016,04,2016-04-01,3727
2016,05,2016-05-01,3663
2016,06,2016-06-01,3777
2016,07,2016-07-01,3647
2016,08,2016-08-01,3902
2016,09,2016-09-01,3768
2016,10,2016-10-01,3815
2016,11,2016-11-01,3563
2016,12,2016-12-01,3827
2017,01,2017-01-01,3551
2017,02,2017-02-01,3452
2017,03,2017-03-01,4001
2017,04,2017-04-01,3571
2017,05,2017-05-01,3770
2017,06,2017-06-01,3611
2017,07,2017-07-01,3742
2017,08,2017-08-01,3852
2017,09,2017-09-01,3594
2017,10,2017-10-01,4039
2017,11,2017-11-01,3768
2017,12,2017-12-01,3888
2018,01,2018-01-01,3675
2018,02,2018-02-01,3584
2018,03,2018-03-01,3915
2018,04,2018-04-01,3726
2018,05,2018-05-01,3633
2018,06,2018-06-01,3638
2018,07,2018-07-01,3920
2018,08,2018-08-01,3950
2018,09,2018-09-01,3775
2018,10,2018-10-01,4133
2018,11,2018-11-01,3739
2018,12,2018-12-01,3663
2019,01,2019-01-01,3601
2019,02,2019-02-01,3554
2019,03,2019-03-01,3896
2019,04,2019-04-01,3674
2019,05,2019-05-01,3927
2019,06,2019-06-01,3730
2019,07,2019-07-01,4089
2019,08,2019-08-01,4120
2019,09,2019-09-01,4116
2019,10,2019-10-01,4184
2019,11,2019-11-01,3800
2019,12,2019-12-01,3897
2020,01,2020-01-01,3653
2020,02,2020-02-01,3814
2020,03,2020-03-01,2750
2020,04,2020-04-01,1737
2020,05,2020-05-01,2402
2020,06,2020-06-01,2433
2020,07,2020-07-01,2784
2020,08,2020-08-01,1409
