date,count
1/1/2010,446
2/1/2010,471
3/1/2010,489
4/1/2010,456
5/1/2010,470
6/1/2010,477
7/1/2010,468
8/1/2010,500
9/1/2010,423
10/1/2010,524
11/1/2010,459
12/1/2010,580
1/1/2011,495
2/1/2011,544
3/1/2011,607
4/1/2011,586
5/1/2011,540
6/1/2011,620
7/1/2011,594
8/1/2011,605
9/1/2011,647
10/1/2011,625
11/1/2011,614
12/1/2011,587
1/1/2012,1946
2/1/2012,2185
3/1/2012,2921
4/1/2012,2648
5/1/2012,2978
6/1/2012,2816
7/1/2012,2822
8/1/2012,3029
9/1/2012,2849
10/1/2012,3037
11/1/2012,2705
12/1/2012,2751
1/1/2013,2813
2/1/2013,2583
3/1/2013,2988
4/1/2013,2939
5/1/2013,3034
6/1/2013,2820
7/1/2013,2829
8/1/2013,3228
9/1/2013,2926
10/1/2013,3243
11/1/2013,3009
12/1/2013,2918
1/1/2014,2909
2/1/2014,2812
3/1/2014,3117
4/1/2014,2918
5/1/2014,3095
6/1/2014,3041
7/1/2014,2870
8/1/2014,3146
9/1/2014,3142
10/1/2014,3349
11/1/2014,3022
12/1/2014,3288
1/1/2015,3248
2/1/2015,2743
3/1/2015,3120
4/1/2015,3415
5/1/2015,3423
6/1/2015,3392
7/1/2015,3477
8/1/2015,3806
9/1/2015,3537
10/1/2015,3828
11/1/2015,3543
12/1/2015,3645
1/1/2016,3395
2/1/2016,3604
3/1/2016,3741
4/1/2016,3727
5/1/2016,3663
6/1/2016,3777
7/1/2016,3647
8/1/2016,3902
9/1/2016,3768
10/1/2016,3815
11/1/2016,3563
12/1/2016,3827
1/1/2017,3551
2/1/2017,3452
3/1/2017,4001
4/1/2017,3571
5/1/2017,3770
6/1/2017,3611
7/1/2017,3742
8/1/2017,3852
9/1/2017,3594
10/1/2017,4039
11/1/2017,3768
12/1/2017,3888
1/1/2018,3675
2/1/2018,3584
3/1/2018,3915
4/1/2018,3726
5/1/2018,3633
6/1/2018,3638
7/1/2018,3920
8/1/2018,3950
9/1/2018,3775
10/1/2018,4133
11/1/2018,3739
12/1/2018,3663
1/1/2019,3601
2/1/2019,3554
3/1/2019,3896
4/1/2019,3674
5/1/2019,3927
6/1/2019,3730
7/1/2019,4089
8/1/2019,4120
9/1/2019,4116
10/1/2019,4184
11/1/2019,3800
12/1/2019,3897
