date,count
1/1/2016,3395
2/1/2016,3604
3/1/2016,3741
4/1/2016,3727
5/1/2016,3663
6/1/2016,3777
7/1/2016,3647
8/1/2016,3902
9/1/2016,3768
10/1/2016,3815
11/1/2016,3563
12/1/2016,3827
1/1/2017,3551
2/1/2017,3452
3/1/2017,4001
4/1/2017,3571
5/1/2017,3770
6/1/2017,3611
7/1/2017,3742
8/1/2017,3852
9/1/2017,3594
10/1/2017,4039
11/1/2017,3768
12/1/2017,3888
1/1/2018,3675
2/1/2018,3584
3/1/2018,3915
4/1/2018,3726
5/1/2018,3633
6/1/2018,3638
7/1/2018,3920
8/1/2018,3950
9/1/2018,3775
10/1/2018,4133
11/1/2018,3739
12/1/2018,3663
1/1/2019,3601
2/1/2019,3554
3/1/2019,3896
4/1/2019,3674
5/1/2019,3927
6/1/2019,3730
7/1/2019,4089
8/1/2019,4120
9/1/2019,4116
10/1/2019,4184
11/1/2019,3800
12/1/2019,3897
