Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2010-01-01,70,51,60.5,2.9,4,0,0,0,0
2010-01-02,78,50,64,6.4,1,0,0,0,0
2010-01-03,79,54,66.5,8.9,0,2,0,0,0
2010-01-04,77,56,66.5,8.8,0,2,0,0,0
2010-01-05,78,54,66,8.3,0,1,0,0,0
2010-01-06,76,52,64,6.2,1,0,0,0,0
2010-01-07,74,49,61.5,3.7,3,0,0,0,0
2010-01-08,79,51,65,7.2,0,0,0,0,0
2010-01-09,77,58,67.5,9.6,0,3,0,0,0
2010-01-10,77,54,65.5,7.6,0,1,0,0,0
2010-01-11,81,52,66.5,8.6,0,2,0,0,0
2010-01-12,73,53,63,5,2,0,0,0,0
2010-01-13,66,54,60,2,5,0,0.16,0,0
2010-01-14,74,51,62.5,4.5,2,0,0,0,0
2010-01-15,76,50,63,5,2,0,0,0,0
2010-01-16,71,54,62.5,4.4,2,0,0,0,0
2010-01-17,66,54,60,1.9,5,0,0.31,0,0
2010-01-18,62,56,59,0.9,6,0,1.12,0,0
2010-01-19,58,50,54,-4.1,11,0,0.61,0,0
2010-01-20,59,51,55,-3.1,10,0,1.2,0,0
2010-01-21,58,50,54,-4.1,11,0,0.97,0,0
2010-01-22,53,46,49.5,-8.7,15,0,0.37,0,0
2010-01-23,60,42,51,-7.2,14,0,0,0,0
2010-01-24,64,43,53.5,-4.7,11,0,0,0,0
2010-01-25,67,46,56.5,-1.7,8,0,0,0,0
2010-01-26,61,47,54,-4.2,11,0,0.2,0,0
2010-01-27,69,54,61.5,3.3,3,0,0,0,0
2010-01-28,71,50,60.5,2.3,4,0,0,0,0
2010-01-29,68,50,59,0.7,6,0,0,0,0
2010-01-30,64,48,56,-2.3,9,0,0,0,0
2010-01-31,66,47,56.5,-1.8,8,0,0,0,0
2010-02-01,68,50,59,0.7,6,0,0,0,0
2010-02-02,66,54,60,1.6,5,0,0,0,0
